Name,Purpose,Qty,Total (USD),Link,Distributor
Keycaps,Keycaps,15,9.11,https://www.amazon.in/gp/product/B0F13YK4D6,Amazon
3D printed case,Case,1,7,https://app.slack.com/client/E09V59WQY1E/C095YP8GLKT,Printing-legion Hack club
PCB,PCB,1,14.35,,JLCPCB
screws,Screw,4,1.7,https://www.amazon.in/gp/product/B09RH2HLR2,Amazon
RGB LED,Leds,2,3,https://www.amazon.in/gp/product/B0BKQH4N2Y,Amazon
Rotary encoder,Rotary encoder,2,1.83,https://www.amazon.in/gp/product/B0888RWNM1,Amazon
1N4148 diodes,Diodes,16,0,,I've this already in my home
MX-switches,Switches,15,6.36,https://www.amazon.in/gp/product/B0FQBYCGRR,Amazon
XIAO RP2040,Microcontroller,1,10.83,https://www.amazon.in/gp/product/B0FVF1V3P4,Amazon
Total,,,,54.18,
